CGPA,CodingSkill,CommunicationSkill,AptitudeLevel,InterestArea,CareerPath
7.84,Medium,Medium,76,Cybersecurity,Cyber Security Analyst
7.52,Low,High,51,UI/UX Design,UI/UX Designer
8.36,High,Medium,85,AI,AI Engineer
9.4,High,Medium,86,Data Science,Data Scientist
8.6,High,High,96,AI,AI Engineer
8.92,Low,Medium,87,Cybersecurity,Cyber Security Analyst
8.62,High,Medium,83,AI,AI Engineer
6.73,Medium,Medium,65,Web Development,Web Developer
8.13,Medium,Low,70,Web Development,Web Developer
7.76,Medium,High,59,UI/UX Design,UI/UX Designer
8.05,High,Low,81,Cybersecurity,Cyber Security Analyst
8.54,Medium,High,72,Cloud Computing,Cloud Engineer
8.07,Low,High,79,UI/UX Design,UI/UX Designer
9.41,Medium,Low,76,Data Science,Data Scientist
8.47,High,Low,67,Web Development,Web Developer
9.35,Medium,High,82,UI/UX Design,UI/UX Designer
7.67,High,Low,77,Cybersecurity,Cyber Security Analyst
9.04,High,Medium,68,Web Development,Web Developer
8.11,Low,High,81,UI/UX Design,UI/UX Designer
9.77,High,High,70,Cloud Computing,Cloud Engineer
6.82,High,Medium,81,Cloud Computing,Cloud Engineer
7.16,Medium,Medium,85,Web Development,Web Developer
9.09,High,High,86,AI,AI Engineer
9.43,Medium,Medium,71,Cloud Computing,Cloud Engineer
6.44,Medium,High,52,Web Development,Web Developer
7.49,Medium,High,74,Cybersecurity,Cyber Security Analyst
6.78,High,High,83,Cybersecurity,Cyber Security Analyst
8.61,High,High,99,AI,AI Engineer
8.0,High,Medium,86,Cloud Computing,Cloud Engineer
8.97,Medium,Low,87,Cybersecurity,Cyber Security Analyst
9.22,Medium,High,64,UI/UX Design,UI/UX Designer
7.02,High,Medium,62,Cybersecurity,Cyber Security Analyst
8.97,High,Low,87,Data Science,Data Scientist
9.58,Medium,High,88,Data Science,Data Scientist
8.79,High,Medium,96,AI,AI Engineer
9.43,Medium,High,86,UI/UX Design,UI/UX Designer
6.48,Medium,Low,52,Web Development,Web Developer
7.7,Medium,Low,91,Data Science,Data Scientist
9.69,High,Medium,99,AI,AI Engineer
7.11,Medium,Medium,77,Cloud Computing,Cloud Engineer
7.21,Medium,High,53,UI/UX Design,UI/UX Designer
6.19,High,Medium,90,Cybersecurity,Cyber Security Analyst
9.63,High,High,80,AI,AI Engineer
6.34,Low,Medium,84,Cybersecurity,Cyber Security Analyst
6.03,Low,High,70,UI/UX Design,UI/UX Designer
8.08,Medium,High,83,UI/UX Design,UI/UX Designer
6.05,High,Low,77,Web Development,Web Developer
7.02,High,High,96,Cybersecurity,Cyber Security Analyst
7.44,High,Low,76,Cybersecurity,Cyber Security Analyst
6.19,High,High,74,Web Development,Web Developer
8.99,Low,Low,78,Cybersecurity,Cyber Security Analyst
6.35,Low,High,86,UI/UX Design,UI/UX Designer
8.7,High,High,88,AI,AI Engineer
8.48,High,Medium,87,AI,AI Engineer
8.39,Medium,Low,93,Cloud Computing,Cloud Engineer
7.74,High,Medium,78,Cloud Computing,Cloud Engineer
8.8,Medium,Medium,58,Web Development,Web Developer
8.08,High,High,66,Web Development,Web Developer
6.53,High,High,68,Cybersecurity,Cyber Security Analyst
8.43,Medium,Low,91,Cloud Computing,Cloud Engineer
8.71,High,Medium,77,Data Science,Data Scientist
9.06,Medium,Low,82,Cloud Computing,Cloud Engineer
8.61,High,High,83,AI,AI Engineer
7.7,Medium,High,54,UI/UX Design,UI/UX Designer
8.71,Medium,Low,67,Web Development,Web Developer
9.76,High,High,98,AI,AI Engineer
8.55,High,Medium,82,AI,AI Engineer
6.54,High,Medium,83,Web Development,Web Developer
7.59,High,Medium,90,Cybersecurity,Cyber Security Analyst
7.95,Medium,Low,60,Web Development,Web Developer
8.15,Medium,High,75,Cybersecurity,Cyber Security Analyst
9.3,Low,High,83,UI/UX Design,UI/UX Designer
6.26,Medium,Low,85,Cybersecurity,Cyber Security Analyst
6.29,Medium,High,83,UI/UX Design,UI/UX Designer
8.23,High,Low,84,Data Science,Data Scientist
6.33,Low,High,63,UI/UX Design,UI/UX Designer
9.61,High,High,100,AI,AI Engineer
9.6,High,Medium,89,AI,AI Engineer
9.53,High,Medium,87,AI,AI Engineer
8.57,High,Low,85,Cloud Computing,Cloud Engineer
8.14,Medium,High,84,Data Science,Data Scientist
8.21,High,Medium,96,AI,AI Engineer
6.67,High,Low,60,Web Development,Web Developer
9.25,High,Low,52,Web Development,Web Developer
8.37,High,High,95,AI,AI Engineer
7.89,High,High,79,Data Science,Data Scientist
8.83,High,High,64,Web Development,Web Developer
8.43,Low,High,78,UI/UX Design,UI/UX Designer
9.24,Low,High,87,UI/UX Design,UI/UX Designer
8.19,High,Medium,78,Web Development,Web Developer
7.43,High,Low,75,Cloud Computing,Cloud Engineer
9.14,High,High,86,AI,AI Engineer
8.23,High,Medium,97,AI,AI Engineer
8.89,Medium,Low,85,Data Science,Data Scientist
9.32,High,Low,94,Data Science,Data Scientist
8.0,High,Medium,99,Data Science,Data Scientist
7.67,Medium,High,76,Cloud Computing,Cloud Engineer
6.39,High,High,78,Web Development,Web Developer
7.46,Medium,High,53,UI/UX Design,UI/UX Designer
7.9,High,High,92,Cloud Computing,Cloud Engineer
6.05,High,Low,84,Cybersecurity,Cyber Security Analyst
7.9,High,Low,87,Data Science,Data Scientist
6.9,Medium,Low,65,Cloud Computing,Cloud Engineer
8.97,High,Medium,96,Data Science,Data Scientist
7.28,Medium,High,67,UI/UX Design,UI/UX Designer
8.9,Medium,Medium,82,Web Development,Web Developer
7.9,High,Medium,50,Web Development,Web Developer
6.2,Medium,High,70,UI/UX Design,UI/UX Designer
8.27,High,Medium,85,AI,AI Engineer
6.32,Low,High,86,UI/UX Design,UI/UX Designer
6.07,High,Low,83,Cybersecurity,Cyber Security Analyst
9.14,High,Low,67,Cloud Computing,Cloud Engineer
9.09,High,Low,96,Data Science,Data Scientist
8.55,Medium,High,75,UI/UX Design,UI/UX Designer
9.12,Medium,High,82,UI/UX Design,UI/UX Designer
8.39,Medium,High,77,UI/UX Design,UI/UX Designer
8.13,Medium,High,63,UI/UX Design,UI/UX Designer
8.86,Low,Low,94,Cybersecurity,Cyber Security Analyst
7.71,Medium,High,59,UI/UX Design,UI/UX Designer
8.89,Medium,High,91,Data Science,Data Scientist
8.06,Medium,High,82,Cloud Computing,Cloud Engineer
7.85,High,Low,86,Data Science,Data Scientist
9.47,High,Medium,88,AI,AI Engineer
8.93,High,Medium,99,Data Science,Data Scientist
8.55,Medium,Medium,66,Cybersecurity,Cyber Security Analyst
9.26,High,Medium,77,Data Science,Data Scientist
7.59,High,High,90,Web Development,Web Developer
6.47,Medium,High,86,UI/UX Design,UI/UX Designer
9.16,Medium,Low,95,Data Science,Data Scientist
7.73,Medium,Low,84,Data Science,Data Scientist
7.19,Low,Medium,63,Cybersecurity,Cyber Security Analyst
8.62,High,High,99,AI,AI Engineer
9.29,Low,Low,78,Cybersecurity,Cyber Security Analyst
8.31,Medium,High,81,Cybersecurity,Cyber Security Analyst
7.31,Low,High,61,UI/UX Design,UI/UX Designer
7.35,Medium,Low,68,Cloud Computing,Cloud Engineer
8.77,High,Medium,90,Web Development,Web Developer
9.18,Low,High,65,UI/UX Design,UI/UX Designer
6.8,Low,High,82,UI/UX Design,UI/UX Designer
8.23,Medium,Medium,86,Data Science,Data Scientist
9.75,High,Low,76,Cloud Computing,Cloud Engineer
8.27,High,High,87,AI,AI Engineer
7.61,Medium,Medium,85,Web Development,Web Developer
7.77,High,High,79,Data Science,Data Scientist
8.53,High,Medium,98,Data Science,Data Scientist
9.09,High,High,89,AI,AI Engineer
9.57,High,Medium,82,AI,AI Engineer
6.19,Medium,Low,80,Web Development,Web Developer
9.35,Medium,High,55,UI/UX Design,UI/UX Designer
9.14,Low,High,67,UI/UX Design,UI/UX Designer
7.32,High,High,71,Web Development,Web Developer
6.65,Low,High,68,UI/UX Design,UI/UX Designer
8.88,Medium,High,88,Cloud Computing,Cloud Engineer
8.95,Medium,Medium,84,Cybersecurity,Cyber Security Analyst
9.66,High,Low,76,Data Science,Data Scientist
9.22,Medium,Medium,90,Data Science,Data Scientist
8.06,High,Medium,82,Cloud Computing,Cloud Engineer
8.55,Medium,Low,67,Cybersecurity,Cyber Security Analyst
8.38,High,Low,78,Data Science,Data Scientist
8.47,High,High,92,AI,AI Engineer
7.38,High,Low,65,Cybersecurity,Cyber Security Analyst
6.89,Medium,Medium,74,Cybersecurity,Cyber Security Analyst
8.15,High,Low,76,Data Science,Data Scientist
9.43,Medium,Medium,82,Data Science,Data Scientist
9.11,Low,High,71,UI/UX Design,UI/UX Designer
9.3,Medium,Low,70,Cybersecurity,Cyber Security Analyst
6.22,Medium,Medium,70,Web Development,Web Developer
8.28,Medium,High,56,Web Development,Web Developer
9.26,High,High,93,Cloud Computing,Cloud Engineer
9.92,High,Medium,100,AI,AI Engineer
9.5,High,Low,78,Cloud Computing,Cloud Engineer
8.8,Medium,High,88,Cloud Computing,Cloud Engineer
7.38,Medium,Low,98,Cybersecurity,Cyber Security Analyst
9.13,High,High,83,AI,AI Engineer
8.13,High,Low,82,Cloud Computing,Cloud Engineer
7.57,Medium,High,76,Cybersecurity,Cyber Security Analyst
9.48,Low,Medium,92,Cybersecurity,Cyber Security Analyst
7.89,Medium,High,66,Cybersecurity,Cyber Security Analyst
8.3,Medium,Low,91,Cloud Computing,Cloud Engineer
7.96,Medium,Medium,96,Data Science,Data Scientist
9.22,High,Medium,85,AI,AI Engineer
6.91,Medium,Low,73,Cloud Computing,Cloud Engineer
6.04,Medium,High,53,UI/UX Design,UI/UX Designer
7.96,Medium,Low,77,Cloud Computing,Cloud Engineer
6.2,Medium,Low,87,Web Development,Web Developer
8.41,High,Medium,65,Cloud Computing,Cloud Engineer
6.05,Medium,Medium,70,Cybersecurity,Cyber Security Analyst
8.18,Medium,Medium,79,Data Science,Data Scientist
7.78,Medium,Medium,89,Data Science,Data Scientist
8.98,Low,High,83,UI/UX Design,UI/UX Designer
7.49,High,Medium,62,Web Development,Web Developer
8.69,High,High,81,Web Development,Web Developer
8.65,Medium,Medium,65,Cybersecurity,Cyber Security Analyst
7.51,Medium,Medium,87,Web Development,Web Developer
9.29,Low,High,85,UI/UX Design,UI/UX Designer
7.9,Low,Medium,100,Cybersecurity,Cyber Security Analyst
9.21,Medium,High,88,Data Science,Data Scientist
8.34,High,Medium,93,AI,AI Engineer
9.38,High,Medium,88,AI,AI Engineer
9.1,High,Medium,80,AI,AI Engineer
7.8,Medium,Medium,81,Cloud Computing,Cloud Engineer
7.54,High,Medium,88,Data Science,Data Scientist
9.68,High,Low,69,Cloud Computing,Cloud Engineer
6.95,Medium,High,78,Cloud Computing,Cloud Engineer
7.73,Low,High,80,Cybersecurity,Cyber Security Analyst
9.71,Medium,Low,77,Cloud Computing,Cloud Engineer
9.1,Medium,Low,88,Data Science,Data Scientist
8.9,High,Low,83,Data Science,Data Scientist
6.7,Low,Low,77,Cybersecurity,Cyber Security Analyst
8.81,High,Medium,80,AI,AI Engineer
8.76,High,High,82,AI,AI Engineer
7.83,High,Low,90,Data Science,Data Scientist
8.78,High,High,85,AI,AI Engineer
9.31,Medium,High,84,UI/UX Design,UI/UX Designer
7.7,High,Medium,99,Data Science,Data Scientist
9.71,High,Medium,93,AI,AI Engineer
7.79,High,High,97,Cybersecurity,Cyber Security Analyst
8.59,High,High,91,AI,AI Engineer
6.04,Medium,Medium,75,Web Development,Web Developer
9.7,High,Medium,90,AI,AI Engineer
9.06,Medium,Medium,84,Web Development,Web Developer
7.98,Medium,Low,85,Data Science,Data Scientist
8.43,Medium,High,94,Data Science,Data Scientist
8.87,Medium,High,73,Cloud Computing,Cloud Engineer
6.0,Medium,Low,55,Web Development,Web Developer
9.28,Medium,High,74,UI/UX Design,UI/UX Designer
7.09,High,High,76,Cloud Computing,Cloud Engineer
6.86,High,Low,67,Cloud Computing,Cloud Engineer
9.33,High,High,99,Cybersecurity,Cyber Security Analyst
8.7,High,High,92,AI,AI Engineer
9.95,High,High,96,AI,AI Engineer
8.86,Medium,Medium,95,Data Science,Data Scientist
8.63,Low,High,78,UI/UX Design,UI/UX Designer
8.79,High,High,93,Data Science,Data Scientist
6.22,Low,Low,70,Cybersecurity,Cyber Security Analyst
9.27,Medium,Medium,83,Web Development,Web Developer
9.78,Medium,Medium,66,Cloud Computing,Cloud Engineer
9.42,High,Low,76,Cybersecurity,Cyber Security Analyst
9.62,High,Medium,91,AI,AI Engineer
7.79,High,Low,59,Web Development,Web Developer
7.6,High,Medium,77,Cloud Computing,Cloud Engineer
7.52,Medium,High,81,Web Development,Web Developer
6.45,High,Low,77,Web Development,Web Developer
8.79,High,Low,74,Cloud Computing,Cloud Engineer
6.06,High,High,86,Web Development,Web Developer
7.72,High,Low,81,Web Development,Web Developer
6.52,High,Low,81,Web Development,Web Developer
7.65,Medium,Low,82,Cloud Computing,Cloud Engineer
9.39,High,Medium,65,Cloud Computing,Cloud Engineer
9.57,Low,High,51,UI/UX Design,UI/UX Designer
